name,whitelist,count
SRR9054417_2,v3,329
SRR9054417_3,arc,0
SRR9054417_3,v1,0
SRR9054417_3,v2,0
SRR9054417_3,v3,0
SRR9054418_1,arc,273
SRR9054418_1,v1,440
SRR9054418_1,v2,193707
SRR9054418_1,v3,19996
SRR9054418_2,arc,36
SRR9054418_2,v1,591
SRR9054418_2,v2,79
SRR9054418_2,v3,327
SRR9054418_3,arc,0
SRR9054418_3,v1,0
SRR9054418_3,v2,0
SRR9054418_3,v3,0
SRR9108451_1,arc,0
SRR9108451_1,v1,0
SRR9108451_1,v2,0
SRR9108451_1,v3,0
SRR9108451_2,arc,233
SRR9108451_2,v1,622
SRR9108451_2,v2,188913
SRR9108451_2,v3,19248
SRR9108451_3,arc,16
SRR9108451_3,v1,559
SRR9108451_3,v2,26
SRR9108451_3,v3,274
SRR9108452_1,arc,0
SRR9108452_1,v1,0
SRR9108452_1,v2,0
SRR9108452_1,v3,0
SRR9108452_2,arc,145
SRR9108452_2,v1,499
SRR9108452_2,v2,188084
SRR9108452_2,v3,21338
SRR9108452_3,arc,21
SRR9108452_3,v1,489
SRR9108452_3,v2,16
SRR9108452_3,v3,285
SRR9108453_1,arc,0
SRR9108453_1,v1,0
SRR9108453_1,v2,0
SRR9108453_1,v3,0
SRR9108453_2,arc,188
SRR9108453_2,v1,520
SRR9108453_2,v2,188912
SRR9108453_2,v3,19551
SRR9108453_3,arc,22
SRR9108453_3,v1,528
SRR9108453_3,v2,16
SRR9108453_3,v3,292
SRR9141298_1,arc,594
SRR9141298_1,v1,108
SRR9141298_1,v2,191903
SRR9141298_1,v3,18862
SRR9141298_2,arc,52
SRR9141298_2,v1,469
SRR9141298_2,v2,33
SRR9141298_2,v3,289
SRR9141298_3,arc,0
SRR9141298_3,v1,0
SRR9141298_3,v2,0
SRR9141298_3,v3,0
SRR9141299_1,arc,16
SRR9141299_1,v1,340
SRR9141299_1,v2,192330
SRR9141299_1,v3,20274
SRR9141299_2,arc,48
SRR9141299_2,v1,431
SRR9141299_2,v2,41
SRR9141299_2,v3,319
SRR9141299_3,arc,0
SRR9141299_3,v1,0
SRR9141299_3,v2,0
SRR9141299_3,v3,0
SRR9141300_1,arc,162
SRR9141300_1,v1,722
SRR9141300_1,v2,192319
SRR9141300_1,v3,21798
SRR9141300_2,arc,50
SRR9141300_2,v1,453
SRR9141300_2,v2,47
SRR9141300_2,v3,303
SRR9141300_3,arc,0
SRR9141300_3,v1,0
SRR9141300_3,v2,0
SRR9141300_3,v3,0
SRR9264269_1,arc,352
SRR9264269_1,v1,485
SRR9264269_1,v2,192254
SRR9264269_1,v3,20309
SRR9264269_2,arc,33
SRR9264269_2,v1,605
SRR9264269_2,v2,32
SRR9264269_2,v3,327
SRR9264269_3,arc,0
SRR9264269_3,v1,0
SRR9264269_3,v2,0
SRR9264269_3,v3,0
SRR9276150_1,arc,0
SRR9276150_1,v1,0
SRR9276150_1,v2,0
SRR9276150_1,v3,0
SRR9276150_2,arc,375
SRR9276150_2,v1,501
SRR9276150_2,v2,187732
SRR9276150_2,v3,20796
SRR9276150_3,arc,27
SRR9276150_3,v1,492
SRR9276150_3,v2,32
SRR9276150_3,v3,247
SRR9276151_1,arc,0
SRR9276151_1,v1,0
SRR9276151_1,v2,0
SRR9276151_1,v3,0
SRR9276151_2,arc,217
SRR9276151_2,v1,674
SRR9276151_2,v2,191312
SRR9276151_2,v3,20353
SRR9276151_3,arc,24
SRR9276151_3,v1,521
SRR9276151_3,v2,33
SRR9276151_3,v3,236
SRR9621087_1,arc,0
SRR9621087_1,v1,0
SRR9621087_1,v2,0
SRR9621087_1,v3,0
SRR9621087_2,arc,223
SRR9621087_2,v1,677
SRR9621087_2,v2,2406
SRR9621087_2,v3,193718
SRR9621087_3,arc,33
SRR9621087_3,v1,590
SRR9621087_3,v2,24
SRR9621087_3,v3,399
SRR9621088_1,arc,0
SRR9621088_1,v1,0
SRR9621088_1,v2,0
SRR9621088_1,v3,0
SRR9621088_2,arc,239
SRR9621088_2,v1,508
SRR9621088_2,v2,2442
SRR9621088_2,v3,191904
SRR9621088_3,arc,30
SRR9621088_3,v1,537
SRR9621088_3,v2,33
SRR9621088_3,v3,379
SRR9659728_1,arc,0
SRR9659728_1,v1,0
SRR9659728_1,v2,0
SRR9659728_1,v3,0
SRR9659728_2,arc,177
SRR9659728_2,v1,702
SRR9659728_2,v2,3028
SRR9659728_2,v3,184864
SRR9659728_3,arc,19
SRR9659728_3,v1,331
SRR9659728_3,v2,14
SRR9659728_3,v3,154
SRR9659729_1,arc,0
SRR9659729_1,v1,0
SRR9659729_1,v2,0
SRR9659729_1,v3,0
SRR9659729_2,arc,176
SRR9659729_2,v1,714
SRR9659729_2,v2,3412
SRR9659729_2,v3,192222
SRR9659729_3,arc,15
SRR9659729_3,v1,199
SRR9659729_3,v2,12
SRR9659729_3,v3,110
SRR9719056_1,arc,324
SRR9719056_1,v1,387
SRR9719056_1,v2,192630
SRR9719056_1,v3,20379
SRR9719056_2,arc,72
SRR9719056_2,v1,560
SRR9719056_2,v2,142
SRR9719056_2,v3,314
SRR9719056_3,arc,0
SRR9719056_3,v1,0
SRR9719056_3,v2,0
SRR9719056_3,v3,0
SRR9719057_1,arc,98
SRR9719057_1,v1,727
SRR9719057_1,v2,192041
SRR9719057_1,v3,21141
SRR9719057_2,arc,89
SRR9719057_2,v1,603
SRR9719057_2,v2,178
SRR9719057_2,v3,325
SRR9719057_3,arc,0
SRR9719057_3,v1,0
SRR9719057_3,v2,0
SRR9719057_3,v3,0
SRR9916708_1,arc,12
SRR9916708_1,v1,804
SRR9916708_1,v2,3589
SRR9916708_1,v3,191849
SRR9916708_2,arc,25
SRR9916708_2,v1,525
SRR9916708_2,v2,17
SRR9916708_2,v3,299
SRR9916708_3,arc,0
SRR9916708_3,v1,0
SRR9916708_3,v2,0
SRR9916708_3,v3,0
SRR9916709_1,arc,17
SRR9916709_1,v1,793
SRR9916709_1,v2,3574
SRR9916709_1,v3,191984
SRR9916709_2,arc,33
SRR9916709_2,v1,534
SRR9916709_2,v2,23
SRR9916709_2,v3,321
SRR9916709_3,arc,0
SRR9916709_3,v1,0
SRR9916709_3,v2,0
SRR9916709_3,v3,0
SRR9916710_1,arc,13
SRR9916710_1,v1,790
SRR9916710_1,v2,3616
SRR9916710_1,v3,191261
SRR9916710_2,arc,29
SRR9916710_2,v1,552
SRR9916710_2,v2,23
SRR9916710_2,v3,315
SRR9916710_3,arc,0
SRR9916710_3,v1,0
SRR9916710_3,v2,0
SRR9916710_3,v3,0
SRR9916711_1,arc,11
SRR9916711_1,v1,776
SRR9916711_1,v2,3449
SRR9916711_1,v3,191811
SRR9916711_2,arc,30
SRR9916711_2,v1,583
SRR9916711_2,v2,24
SRR9916711_2,v3,307
SRR9916711_3,arc,0
SRR9916711_3,v1,0
SRR9916711_3,v2,0
SRR9916711_3,v3,0
SRR9916712_1,arc,170
SRR9916712_1,v1,829
SRR9916712_1,v2,2840
SRR9916712_1,v3,191782
SRR9916712_2,arc,23
